ID;Data_Confronto;Rodada;Time_Casa;Time_Visitante;Gol_1;Gol_2;Razao_Vitoria_Time_Casa;Razao_Vitoria_Time_Visitante;Razao_Derrota_Time_Casa;Razao_Derrota_Time_Visitante;Razao_Empate_Time_Casa;Razao_Empate_Time_Visitante;Media_Gols_Time_Casa;Media_Gols_Time_Visitante;Media_Gols_Sofrido_Time_Casa;Media_Gols_Sofrido_Time_Visitante;Exp_Gols_Mandante_Final;Exp_Gols_Visitante_Final;Forma_Mandante;Forma_Visitante;Elo_Mandante;Elo_Visitante;Exp_Vitoria;Tipo_Vencedor;Vencedor
454;2014-05-28;8;corinthians;cruzeiro;1;0;0.3111;0.6222;0.2444;0.2;0.4444;0.4444;0.8;2.0444;0.5778;1.0222;0;0;11;18;1005.1675;994.645;E;M;corinthians
455;2014-05-28;8;criciúma;coritiba;1;0;0.3333;0.2667;0.4667;0.3778;0.2;0.2;1.1556;1.0444;1.6;1.2;1;0;10;0;1001.395;1000.3975;M;M;criciúma
456;2014-05-28;8;internacional;chapecoense;2;0;0.3111;0.1429;0.2889;0.5714;0.4;2.5714;1.3333;0.7143;1.3333;1.0;1;0;3;12;993.22;1001.02;M;M;internacional
457;2014-05-29;8;flamengo;figueirense;1;1;0.2889;0.1429;0.3556;0.8571;0.3556;2.2857;1.0667;0.1429;1.2222;1.4286;1;0;5;5;994.0275;1001.225;M;E;empate
458;2014-05-29;8;bahia;santos;0;2;0.3182;0.3556;0.3636;0.2667;0.3182;0.3111;0.9773;1.2667;1.1364;0.9556;0;1;3;5;1004.83;999.295;V;V;santos
459;2014-05-31;9;coritiba;goiás;3;0;0.2609;0.4348;0.3913;0.2609;0.3478;0.3478;1.0217;1.1957;1.1957;1.0435;1;0;1;10;1000.3975;1004.145;M;M;coritiba
460;2014-05-31;9;são paulo;atlético-mg;2;1;0.3696;0.413;0.3696;0.2826;0.2609;0.2609;1.1522;1.2826;1.1087;0.9783;1;0;9;12;998.4125;997.425;M;M;são paulo
461;2014-05-31;9;vitória;sport;0;1;0.3696;0.2857;0.3043;0.4286;0.3261;2.1429;1.4565;0.8571;1.3696;1.4286;1;0;5;5;999.52;1006.34;M;V;sport
462;2014-06-01;9;corinthians;botafogo-rj;1;1;0.3261;0.413;0.2391;0.3261;0.4348;0.4348;0.8043;1.4565;0.5652;1.1304;0;0;16;9;1005.1675;994.6475;E;E;empate
463;2014-06-01;9;fluminense;internacional;1;1;0.3696;0.3261;0.413;0.2826;0.2174;0.2174;1.2174;1.3478;1.1739;1.3043;1;1;9;10;1004.56;993.22;E;E;empate
464;2014-06-01;9;grêmio;palmeiras;0;0;0.4783;0.5;0.2391;0.5;0.2826;1.625;1.0652;1.0;0.8696;1.25;1;0;6;3;1000.5125;992.24;M;E;empate
465;2014-06-01;9;figueirense;athlético-pr;1;3;0.125;0.4348;0.75;0.2609;0.125;0.0217;0.25;1.6739;1.375;1.3043;0;2;3;10;1001.225;1000.0825;V;V;athlético-pr
466;2014-06-01;9;chapecoense;bahia;2;1;0.125;0.3111;0.625;0.3778;0.25;0.0444;0.625;0.9556;1.125;1.1556;0;0;6;1;1001.52;1004.33;E;M;chapecoense
467;2014-06-01;9;cruzeiro;flamengo;3;0;0.6087;0.2826;0.2174;0.3478;0.1739;0.1739;2.0;1.0652;1.0217;1.2174;2;0;9;4;994.645;994.0275;M;M;cruzeiro
468;2014-06-01;9;santos;criciúma;2;0;0.3696;0.3478;0.2609;0.4565;0.3696;0.3696;1.2826;1.1522;0.9348;1.5652;1;0;12;14;999.295;1001.395;M;M;santos
469;2014-06-04;5;sport;bahia;1;0;0.375;0.3043;0.375;0.3913;0.25;0.0435;0.875;0.9565;1.25;1.1739;0;1;11;2;1007.34;1003.33;V;M;sport
470;2014-07-16;10;grêmio;goiás;0;0;0.4681;0.4255;0.234;0.2766;0.2979;0.2979;1.0426;1.1702;0.8511;1.0851;1;0;5;5;1000.0125;1004.645;M;E;empate
471;2014-07-16;10;flamengo;athlético-pr;1;2;0.2766;0.4468;0.3617;0.2553;0.3617;0.3617;1.0426;1.7021;1.2553;1.2979;1;1;3;14;993.5275;1000.5825;E;V;athlético-pr
472;2014-07-16;10;criciúma;fluminense;3;2;0.3404;0.3617;0.4681;0.4043;0.1915;0.1915;1.1277;1.2128;1.5745;1.1702;0;0;7;6;1001.895;1004.06;E;M;criciúma
473;2014-07-16;10;coritiba;figueirense;0;2;0.2766;0.1111;0.383;0.7778;0.3404;1.7778;1.0638;0.3333;1.1702;1.5556;1;0;9;0;998.8975;1002.725;M;V;figueirense
474;2014-07-16;10;bahia;são paulo;0;2;0.2979;0.383;0.4043;0.3617;0.2979;0.2979;0.9362;1.1702;1.1702;1.1064;0;0;0;12;1002.58;999.1625;E;V;são paulo
475;2014-07-16;10;sport;botafogo-rj;1;0;0.4444;0.4043;0.3333;0.3191;0.2222;0.0426;0.8889;1.4468;1.1111;1.1277;1;1;16;10;1007.84;994.1475;E;M;sport
476;2014-07-17;10;corinthians;internacional;2;1;0.3191;0.3191;0.234;0.2766;0.4468;0.4468;0.8085;1.3404;0.5745;1.2979;0;0;12;9;1005.6675;992.72;E;M;corinthians
477;2014-07-17;10;cruzeiro;vitória;3;1;0.617;0.3617;0.2128;0.3191;0.1702;0.1702;2.0213;1.4255;1.0;1.3617;2;1;12;1;994.645;999.52;M;M;cruzeiro
478;2014-07-17;10;santos;palmeiras;2;0;0.383;0.4444;0.2553;0.4444;0.3617;1.8889;1.2979;0.8889;0.9149;1.1111;1;0;16;3;999.295;992.24;M;M;santos
479;2014-07-19;11;atlético-mg;bahia;1;1;0.4043;0.2917;0.2979;0.4167;0.2979;0.2917;1.2766;0.9167;1.0;1.1875;1;0;7;0;996.925;1003.08;M;E;empate
480;2014-07-19;11;botafogo-rj;coritiba;1;0;0.3958;0.2708;0.3333;0.3958;0.2708;0.2708;1.4167;1.0417;1.125;1.1875;1;0;5;6;994.1475;998.8975;M;M;botafogo-rj
481;2014-07-19;11;são paulo;chapecoense;0;1;0.3958;0.2222;0.3542;0.5556;0.25;1.3333;1.1875;0.7778;1.0833;1.1111;1;0;16;12;998.1625;1002.52;M;V;chapecoense
482;2014-07-19;11;figueirense;grêmio;0;1;0.2;0.4583;0.7;0.2292;0.1;0.0208;0.5;1.0208;1.4;0.8333;0;1;10;4;1002.725;1000.0125;V;V;grêmio
483;2014-07-20;11;vitória;corinthians;0;0;0.3542;0.3333;0.3333;0.2292;0.3125;0.3125;1.4167;0.8333;1.3958;0.5833;0;0;1;12;999.52;1005.6675;E;E;empate
484;2014-07-20;11;goiás;sport;0;0;0.4167;0.5;0.2708;0.3;0.3125;1.5;1.1458;0.9;1.0625;1.0;0;0;4;18;1004.645;1007.84;E;E;empate
485;2014-07-20;11;athlético-pr;criciúma;2;0;0.4583;0.3542;0.25;0.4583;0.2917;0.2917;1.7083;1.1667;1.2917;1.5833;2;0;16;12;1000.5825;1001.895;M;M;athlético-pr
486;2014-07-20;11;palmeiras;cruzeiro;1;2;0.4;0.625;0.5;0.2083;0.1;0.0208;0.8;2.0417;1.2;1.0;0;1;2;15;992.24;994.645;V;V;cruzeiro
487;2014-07-20;11;fluminense;santos;1;0;0.3542;0.3958;0.4167;0.25;0.2292;0.2292;1.2292;1.3125;1.2083;0.8958;1;1;2;18;1004.56;998.795;E;M;fluminense
488;2014-07-20;11;internacional;flamengo;4;0;0.3125;0.2708;0.2917;0.375;0.3958;0.3958;1.3333;1.0417;1.3125;1.2708;1;0;5;3;992.72;993.5275;M;M;internacional
489;2014-07-26;12;cruzeiro;figueirense;5;0;0.6327;0.1818;0.2041;0.7273;0.1633;0.7273;2.0408;0.4545;1.0;1.3636;1;0;18;6;994.645;1002.725;M;M;cruzeiro
490;2014-07-26;12;bahia;internacional;0;1;0.2857;0.3265;0.4082;0.2857;0.3061;0.3061;0.9184;1.3878;1.1837;1.2857;0;1;3;10;1003.08;992.72;V;V;internacional
491;2014-07-26;12;santos;chapecoense;3;0;0.3878;0.3;0.2653;0.5;0.3469;1.7;1.2857;0.8;0.898;1.0;1;0;9;15;998.795;1002.52;M;M;santos
